15m_timestamp,15m_open,15m_high,15m_low,15m_close,15m_volume
1627744500000,41532.31,41533.32,41432.57,41456.72,2.843997
1627745400000,41456.72,41546.0,41424.34,41546.0,0.104295
1627746300000,41546.0,41665.81,41500.0,41547.21,0.971799
1627747200000,41547.21,41580.26,41461.14,41571.04,1.500104
1627748100000,41571.04,41571.04,41377.98,41398.01,0.100533
1627749000000,41398.01,41398.01,41314.94,41358.0,0.428934
1627749900000,41358.0,41369.46,41244.13,41279.99,0.040991
1627750800000,41279.99,41372.92,41247.09,41351.02,0.107413
1627751700000,41351.02,41351.02,41164.05,41255.35,0.290701
1627752600000,41255.35,41288.83,41040.89,41270.14,0.609002
1627753500000,41270.14,41290.0,41117.77,41154.43,0.83524
1627754400000,41154.43,41216.34,41127.58,41210.39,0.372404
1627755300000,41210.39,41416.0,41210.39,41350.0,0.312851
1627756200000,41350.0,41403.05,41327.79,41374.63,0.073369
1627757100000,41374.63,41433.21,41367.88,41396.01,0.111411
1627758000000,41396.01,41396.01,41284.72,41324.53,0.470825
1627758900000,41324.53,41450.0,41245.4,41450.0,0.097363
1627759800000,41450.0,41557.81,41312.34,41370.61,1.594616
1627760700000,41370.61,41370.61,41283.06,41309.85,0.498478
1627761600000,41309.85,41309.85,41177.4,41177.4,0.30353
1627762500000,41177.4,41384.57,41165.0,41384.57,0.055152
1627763400000,41384.57,41853.5,41376.07,41706.1,0.944015
1627764300000,41706.1,41709.73,41474.98,41509.61,0.325262
1627765200000,41509.61,41677.66,41509.61,41676.64,2.580465
1627766100000,41676.64,41733.91,41645.34,41657.98,2.133648
1627767000000,41657.98,41876.58,41657.98,41865.0,0.292836
1627767900000,41865.0,41978.92,41798.06,41978.92,0.276252
1627768800000,41978.92,41978.92,41735.23,41752.96,1.206842
1627769700000,41752.96,41828.89,41637.64,41814.79,3.319041
1627770600000,41814.79,41921.38,41786.16,41921.38,3.889324
1627771500000,41921.38,41951.23,41813.2,41861.65,0.251524
1627772400000,41861.65,41939.72,41800.0,41899.0,0.497314
1627773300000,41899.0,41948.82,41796.87,41796.87,1.0841
1627774200000,41796.87,41908.72,41714.43,41794.32,0.873083
1627775100000,41794.32,41837.48,41322.13,41447.67,4.987125
1627776000000,41447.67,41537.68,41146.99,41471.68,4.5287
1627776900000,41471.68,41646.94,41422.7,41638.83,0.097362
1627777800000,41638.83,41697.96,41549.33,41686.15,0.15034
1627778700000,41686.15,41773.13,41664.35,41727.69,0.44603
1627779600000,41727.69,41902.45,41669.21,41879.14,0.99322
1627780500000,41879.14,41911.4,41660.55,41715.4,1.04023
1627781400000,41715.4,41773.51,41684.46,41748.64,1.078644
1627782300000,41748.64,41772.72,41661.83,41725.5,1.243648
1627783200000,41725.5,41747.88,41650.0,41650.0,0.240774
1627784100000,41650.0,41720.35,41625.0,41720.35,0.153879
1627785000000,41720.35,41739.69,41640.61,41724.91,0.018426
1627785900000,41724.91,41816.68,41724.91,41813.74,1.821381
1627786800000,41813.74,41969.99,41813.74,41960.6,0.294779
1627787700000,41960.6,42349.99,41899.52,42227.73,1.490165
1627788600000,42227.73,42372.02,42153.82,42312.82,1.082997
1627789500000,42312.82,42566.0,42228.13,42438.76,2.285298
1627790400000,42438.76,42438.76,42284.7,42405.59,0.689449
1627791300000,42405.59,42405.59,42192.32,42289.18,1.426492
1627792200000,42289.18,42307.97,42183.16,42235.45,0.555175
1627793100000,42235.45,42290.37,42032.95,42032.95,0.103444
1627794000000,42032.95,42141.54,41700.0,41742.33,1.238848
1627794900000,41742.33,41935.46,41740.84,41850.0,0.268906
1627795800000,41850.0,41950.01,41793.32,41879.04,0.148606
1627796700000,41879.04,41894.99,41781.22,41820.51,0.060392
1627797600000,41820.51,41902.08,41647.68,41771.05,6.279928
1627798500000,41771.05,41819.24,41720.55,41720.55,0.324948
1627799400000,41720.55,41822.82,41690.81,41697.35,0.460526
1627800300000,41697.35,41779.57,41697.35,41717.14,0.427225
1627801200000,41717.14,41796.03,41708.0,41742.96,0.199258
1627802100000,41742.96,41773.5,41613.32,41764.68,0.62211
1627803000000,41764.68,41819.99,41718.3,41778.39,0.550407
1627803900000,41778.39,41791.81,41654.0,41696.27,0.504485
1627804800000,41696.27,41790.01,41654.0,41735.01,0.022124
1627805700000,41735.01,41784.47,41735.01,41747.01,0.011852
1627806600000,41747.01,41829.32,41701.02,41729.77,0.674721
1627807500000,41729.77,41755.19,41649.94,41753.61,0.181169
1627808400000,41753.61,41902.72,41714.56,41812.89,0.343121
1627809300000,41812.89,41933.16,41812.89,41916.59,0.327633
1627810200000,41916.59,41939.99,41836.32,41887.33,0.096821
1627811100000,41887.33,41919.96,41853.45,41907.82,0.01625
1627812000000,41907.82,41907.82,41756.83,41786.43,1.457838
1627812900000,41786.43,41797.98,41660.87,41700.16,0.197137
1627813800000,41700.16,41754.03,41642.46,41668.59,1.866498
1627814700000,41668.59,41696.15,41400.0,41541.6,4.394039
1627815600000,41541.6,41600.72,41419.34,41424.41,0.896036
1627816500000,41424.41,41490.1,41323.8,41430.06,3.820112
1627817400000,41430.06,41598.0,41430.06,41578.7,1.335264
1627818300000,41578.7,41606.45,41512.51,41581.7,0.203997
1627819200000,41581.7,41725.99,41534.75,41672.34,0.209708
1627820100000,41672.34,41723.32,41637.41,41683.88,0.121381
1627821000000,41683.88,41821.66,41661.88,41673.0,2.250778
1627821900000,41673.0,41673.0,41515.57,41555.81,2.007752
1627822800000,41555.81,41606.04,41492.14,41492.14,0.492613
1627823700000,41492.14,41533.43,41386.0,41474.44,1.460568
1627824600000,41474.44,41548.73,41418.58,41418.58,1.258735
1627825500000,41418.58,41487.0,41406.55,41410.73,0.841249
1627826400000,41410.73,41514.99,41350.0,41459.15,1.185036
1627827300000,41459.15,41492.15,41373.0,41387.6,0.316492
1627828200000,41387.6,41390.01,41315.51,41328.02,0.260976
1627829100000,41328.02,41413.9,41259.1,41341.09,0.706995
1627830000000,41341.09,41389.61,41259.26,41349.94,0.081807
1627830900000,41349.94,41566.99,41312.13,41487.59,1.453615
1627831800000,41487.59,41500.01,41404.34,41431.96,0.07865
1627832700000,41431.96,41431.96,41169.13,41288.52,0.6906
1627833600000,41288.52,41289.54,41100.0,41117.5,0.395653
1627834500000,41117.5,41117.5,40755.55,40869.8,16.620694
1627835400000,40869.8,40932.69,40753.67,40896.55,3.794005
1627836300000,40896.55,41308.69,40896.55,41256.61,1.717634
1627837200000,41256.61,41329.49,41113.34,41141.9,1.209849
1627838100000,41141.9,41177.28,40852.61,40925.67,1.141515
1627839000000,40925.67,41026.35,40896.17,40939.38,1.481509
1627839900000,40939.38,41156.61,40935.31,41071.41,0.202823
1627840800000,41071.41,41111.11,40977.44,40999.94,0.705116
1627841700000,40999.94,41192.85,40999.94,41108.6,1.133282
1627842600000,41108.6,41205.57,41072.35,41181.71,0.298978
1627843500000,41181.71,41188.26,40969.31,41069.67,1.508493
1627844400000,41069.67,41069.67,40776.73,40818.24,0.03143
1627845300000,40818.24,41214.0,40650.0,41205.82,0.693933
1627846200000,41205.82,41488.19,41199.52,41425.63,2.680322
1627847100000,41425.63,41482.48,41232.72,41244.37,1.180349
1627848000000,41244.37,41500.0,41244.37,41500.0,1.081527
1627848900000,41500.0,41500.0,41216.2,41299.0,1.101836
1627849800000,41299.0,41314.06,41092.49,41121.47,1.450624
1627850700000,41121.47,41335.23,41121.47,41238.25,0.831842
1627851600000,41238.25,41249.0,41070.0,41154.31,2.088327
1627852500000,41154.31,41197.87,40946.66,41186.31,0.242835
1627853400000,41186.31,41300.93,40992.66,41080.49,2.473312
1627854300000,41080.49,41149.95,41033.35,41072.66,0.230393
1627855200000,41072.66,41195.31,40986.85,41113.92,7.076344
1627856100000,41113.92,41113.92,40487.47,40562.85,4.426409
1627857000000,40562.85,40562.85,40100.0,40229.11,5.781507
1627857900000,40229.11,40325.42,40000.0,40284.27,0.934346
1627858800000,40284.27,40439.0,40188.55,40235.91,1.700787
1627859700000,40235.91,40313.15,39462.33,39788.36,8.699133
1627860600000,39788.36,39944.09,39581.46,39707.99,2.228652
1627861500000,39707.99,40143.09,39707.99,39851.08,5.220815
1627862400000,39851.08,40061.31,39761.15,40028.22,4.180868
1627863300000,40028.22,40082.11,39809.0,39918.85,3.653171
1627864200000,39918.85,39932.29,39553.27,39632.17,4.729275
1627865100000,39632.17,39716.59,39472.05,39510.05,2.250101
1627866000000,39510.05,39694.49,39238.47,39675.57,0.523566
1627866900000,39675.57,39675.57,39467.86,39608.69,3.056739
1627867800000,39608.69,39778.47,39608.69,39708.18,0.105983
1627868700000,39708.18,39780.11,39580.0,39617.45,0.289421
1627869600000,39617.45,39726.94,39509.96,39513.14,0.683607
1627870500000,39513.14,39721.16,39513.14,39638.58,0.308405
1627871400000,39638.58,39732.87,39581.66,39732.87,0.762769
1627872300000,39732.87,39900.63,39696.79,39774.63,2.574991
1627873200000,39774.63,39917.87,39763.78,39847.26,0.921907
1627874100000,39847.26,39847.26,39728.19,39764.37,0.661667
1627875000000,39764.37,39783.13,39693.74,39720.68,0.415353
1627875900000,39720.68,39837.46,39720.68,39786.72,0.177874
1627876800000,39786.72,39811.95,39666.32,39666.32,0.739206
1627877700000,39666.32,39819.99,39623.97,39795.78,0.542887
1627878600000,39795.78,39852.65,39713.42,39732.61,0.037197
1627879500000,39732.61,39762.24,39659.78,39677.97,0.074659
1627880400000,39677.97,39758.22,39657.43,39677.0,0.022998
1627881300000,39677.0,39737.08,39601.0,39652.99,0.461718
1627882200000,39652.99,39810.69,39652.99,39802.8,0.040598
1627883100000,39802.8,39822.36,39722.28,39722.28,0.137046
1627884000000,39722.28,39732.47,39640.0,39654.07,1.085938
1627884900000,39654.07,39764.75,39640.0,39692.99,0.079915
1627885800000,39692.99,40124.04,39666.85,40124.04,1.56063
1627886700000,40124.04,40358.32,39987.59,40291.07,6.488699
1627887600000,40291.07,40452.47,40173.6,40325.54,0.959607
1627888500000,40325.54,40325.54,40191.24,40199.99,0.350855
1627889400000,40199.99,40256.49,40025.0,40029.7,5.514656
1627890300000,40029.7,40132.87,40029.7,40086.32,0.145806
1627891200000,40086.32,40137.24,39869.98,39945.0,1.542055
1627892100000,39945.0,39978.6,39597.16,39647.0,0.176651
1627893000000,39647.0,39719.0,39499.0,39564.98,3.721109
1627893900000,39564.98,39651.58,39468.95,39511.46,2.023982
1627894800000,39511.46,39572.08,39313.05,39537.65,4.148228
1627895700000,39537.65,39705.27,39472.62,39531.37,0.91233
1627896600000,39531.37,39587.18,39452.52,39499.71,0.163715
1627897500000,39499.71,39682.47,39458.93,39614.49,0.340866
1627898400000,39614.49,39662.66,39533.99,39641.6,1.3006
1627899300000,39641.6,39641.6,39564.68,39600.63,0.239061
1627900200000,39600.63,39808.05,39579.03,39765.28,5.664424
1627901100000,39765.28,39828.24,39691.28,39707.04,2.035581
1627902000000,39707.04,39707.04,39450.0,39497.15,0.512452
1627902900000,39497.15,39576.89,39451.31,39547.07,0.123654
1627903800000,39547.07,39612.1,39455.83,39541.36,1.187743
1627904700000,39541.36,39564.66,39469.99,39535.18,0.605317
1627905600000,39535.18,39674.38,39090.66,39116.17,2.286106
1627906500000,39116.17,39332.92,39054.65,39190.78,3.304187
1627907400000,39190.78,39323.49,39000.0,39214.47,3.23619
1627908300000,39214.47,39390.43,39214.47,39268.83,1.217311
1627909200000,39268.83,39313.63,39156.6,39199.99,0.844639
1627910100000,39199.99,39375.15,39199.99,39318.96,0.529555
1627911000000,39318.96,39549.76,39318.96,39437.99,1.323545
1627911900000,39437.99,39666.0,39426.42,39576.15,1.367493
1627912800000,39576.15,39750.0,39576.15,39607.39,3.596383
1627913700000,39607.39,39659.63,39535.88,39606.58,1.309944
1627914600000,39606.58,39624.53,39529.84,39582.67,0.862057
1627915500000,39582.67,39728.47,39544.59,39628.89,0.037809
1627916400000,39628.89,39847.14,39604.07,39776.91,5.943553
1627917300000,39776.91,39814.63,39700.65,39737.81,2.152778
1627918200000,39737.81,39812.75,39654.87,39674.56,0.879084
1627919100000,39674.56,39772.27,39674.56,39705.41,0.236268
1627920000000,39705.41,39813.16,39625.0,39753.62,0.433002
1627920900000,39753.62,39965.06,39750.0,39926.42,1.049182
1627921800000,39926.42,39949.98,39749.33,39779.08,0.323617
1627922700000,39779.08,39813.76,39636.98,39813.76,0.261073
1627923600000,39813.76,39880.66,39632.47,39661.93,0.17425
1627925400000,39758.37,39806.92,39680.4,39720.61,0.149088
1627926300000,39720.61,39752.61,39665.95,39697.19,0.060909
1627927200000,39697.19,39741.24,39500.0,39619.28,0.783026
1627928100000,39619.28,39720.32,39574.0,39708.28,0.274399
